user_id,action_typ,prod_sub_typ,prod_typ,rsk_lvl,acs_tm
T000001,浏览详情,短债,理财,R2,2025-03-01 09:12:15
T000001,收藏,短债,理财,R2,2025-03-01 09:14:08
T000001,浏览持仓,短债,理财,R2,2025-03-03 10:21:44
T000001,购买,短债,理财,R2,2025-03-03 10:25:31
T000001,浏览详情,周周宝,理财,R2,2025-03-08 18:03:19
T000001,浏览详情,短债,理财,R2,2025-03-15 21:44:03
T000001,赎回,短债,理财,R2,2025-03-28 14:12:51
T000002,浏览详情,固收+,理财,R3,2025-03-02 11:05:33
T000002,浏览详情,固收+,基金,R3,2025-03-02 11:08:20
T000002,收藏,固收+,基金,R3,2025-03-02 11:09:47
T000002,浏览详情,月月宝,理财,R2,2025-03-10 08:35:26
T000002,购买,固收+,基金,R3,2025-03-12 15:41:02
T000002,浏览持仓,固收+,基金,R3,2025-03-21 19:22:18
T000002,浏览详情,固收+,基金,R3,2025-03-29 20:03:05
T000003,参与活动,,非财富,,2025-03-01 13:00:00
T000003,浏览详情,活期+,存款,R1,2025-03-04 12:33:12
T000003,浏览详情,大额存单,存款,R1,2025-03-04 12:36:40
T000003,收藏,大额存单,存款,R1,2025-03-06 09:18:27
T000003,购买,大额存单,存款,R1,2025-03-09 16:52:10
T000003,浏览持仓,大额存单,存款,R1,2025-03-16 10:04:41
T000003,参与活动,,非财富,,2025-03-24 13:10:36
T000004,浏览详情,指数增强,基金,R4,2025-03-02 20:11:45
T000004,浏览详情,新能源,基金,R5,2025-03-02 20:14:02
T000004,收藏,新能源,基金,R5,2025-03-02 20:15:33
T000004,浏览详情,医药主题,基金,R4,2025-03-07 22:31:09
T000004,购买,指数增强,基金,R4,2025-03-13 09:07:56
T000004,浏览持仓,指数增强,基金,R4,2025-03-18 17:25:16
T000004,赎回,指数增强,基金,R4,2025-03-30 11:43:29
T000005,浏览详情,养老年金,保险,R2,2025-03-03 09:01:12
T000005,浏览详情,重疾险,保险,R3,2025-03-03 09:06:36
T000005,线下接触,养老年金,保险,R2,2025-03-05 14:22:09
T000005,收藏,养老年金,保险,R2,2025-03-11 10:19:48
T000005,购买,养老年金,保险,R2,2025-03-20 15:02:33
T000005,浏览持仓,养老年金,保险,R2,2025-03-26 08:44:17
T000006,浏览详情,短债,理财,R2,2025-03-04 16:55:52
T000006,浏览详情,固收+,理财,R3,2025-03-04 16:58:09
T000006,浏览详情,短债,理财,R2,2025-03-04 16:58:35
T000006,购买,短债,理财,R2,2025-03-04 16:58:55
T000006,浏览详情,周周宝,理财,R2,2025-03-04 17:01:13
T000006,收藏,周周宝,理财,R2,2025-03-04 17:02:02
T000006,浏览持仓,短债,理财,R2,2025-03-22 00:00:48
T000006,赎回,短债,理财,R2,2025-03-22 00:08:12
T000006,参与活动,,非财富,,2025-03-24 13:10:36
T000006,浏览详情,季季宝,理财,R2,2025-03-24 13:12:25
T000007,浏览详情,黄金积存,非财富,R3,2025-03-05 13:15:42
T000007,收藏,黄金积存,非财富,R3,2025-03-05 13:18:24
T000007,浏览详情,贵金属,非财富,R4,2025-03-08 21:40:00
T000007,购买,黄金积存,非财富,R3,2025-03-14 10:33:45
T000007,浏览持仓,黄金积存,非财富,R3,2025-03-19 11:22:11
T000007,浏览详情,黄金积存,非财富,R3,2025-03-27 18:59:08
T000008,浏览详情,现金管理,理财,R1,2025-03-06 07:45:21
T000008,浏览详情,活期+,存款,R1,2025-03-06 07:50:17
T000008,购买,现金管理,理财,R1,2025-03-06 07:55:03
T000008,浏览持仓,现金管理,理财,R1,2025-03-12 12:06:36
T000008,浏览详情,短债,理财,R2,2025-03-18 09:27:14
T000008,收藏,短债,理财,R2,2025-03-18 09:30:51
T000009,浏览详情,海外债,基金,R4,2025-03-07 10:01:29
T000009,浏览详情,指数增强,基金,R4,2025-03-07 10:04:55
T000009,收藏,海外债,基金,R4,2025-03-07 10:08:13
T000009,购买,海外债,基金,R4,2025-03-17 13:44:52
T000009,浏览持仓,海外债,基金,R4,2025-03-25 18:20:44
T000009,赎回,海外债,基金,R4,2025-03-31 16:11:30
T000010,参与活动,,非财富,,2025-03-08 09:00:00
T000010,浏览详情,周周宝,理财,R2,2025-03-09 09:12:18
T000010,浏览详情,月月宝,理财,R2,2025-03-09 09:16:31
T000010,收藏,月月宝,理财,R2,2025-03-09 09:18:02
T000010,购买,月月宝,理财,R2,2025-03-15 14:07:39
T000010,浏览持仓,月月宝,理财,R2,2025-03-23 20:30:11
T000011,浏览详情,重疾险,保险,R3,2025-03-10 19:12:47
T000011,线下接触,重疾险,保险,R3,2025-03-12 15:09:10
T000011,浏览详情,医疗险,保险,R2,2025-03-16 11:35:28
T000011,收藏,医疗险,保险,R2,2025-03-16 11:39:03
T000011,购买,医疗险,保险,R2,2025-03-26 17:02:19
T000012,浏览详情,季季宝,理财,R2,2025-03-11 08:04:52
T000012,浏览详情,短债,理财,R2,2025-03-11 08:09:36
T000012,收藏,季季宝,理财,R2,2025-03-11 08:11:05
T000012,浏览详情,固收+,理财,R3,2025-03-19 12:57:23
T000012,购买,季季宝,理财,R2,2025-03-24 10:45:18
T000012,浏览持仓,季季宝,理财,R2,2025-04-01 09:00:00
